town,date,max_temp_c,min_temp_c,avg_temp_c,humidity,precipitation_mm,wind_kph,condition
Nakuru,2023-11-10,20.6,13.8,16.8,81,7.65,13.0,Light rain shower
Nakuru,2023-11-11,21.1,14.4,16.6,81,4.51,15.5,Light rain shower
Nakuru,2023-11-12,21.6,13.8,16.8,82,5.38,13.7,Patchy light drizzle
Nakuru,2023-11-13,20.8,14.0,16.8,85,8.7,10.8,Light rain shower
Nakuru,2023-11-14,21.5,13.2,16.8,82,6.27,7.9,Patchy light rain
Nakuru,2023-11-15,22.0,14.2,16.9,83,6.85,8.3,Light rain shower
Nakuru,2023-11-16,22.8,12.4,17.2,77,3.55,13.7,Patchy rain possible
Nakuru,2023-11-17,23.2,12.5,17.3,74,0.27,10.4,Patchy rain possible
Nakuru,2023-11-18,23.0,12.5,17.2,74,2.77,12.2,Patchy rain possible
Nakuru,2023-11-19,22.8,12.5,17.1,75,4.1,14.0,Patchy rain possible
Nakuru,2023-11-20,19.9,13.7,16.3,82,3.11,11.2,Light drizzle
Nakuru,2023-11-21,21.3,13.8,16.4,83,5.56,11.2,Light rain shower
Nakuru,2023-11-22,18.5,12.2,14.6,87,3.21,6.5,Light rain
Nakuru,2023-11-23,20.4,13.0,16.4,84,6.44,9.7,Light rain shower
Nakuru,2023-11-24,19.7,13.1,15.4,87,5.39,7.6,Light rain shower
Nakuru,2023-11-25,22.0,12.6,16.5,78,3.05,15.8,Patchy light drizzle
Nakuru,2023-11-26,22.6,13.3,16.8,80,5.2,16.2,Light rain shower
Nakuru,2023-11-27,22.5,13.4,17.1,72,0.22,19.8,Patchy rain possible
Nakuru,2023-11-28,20.9,13.2,16.6,78,5.12,16.6,Patchy light drizzle
Nakuru,2023-11-29,23.2,12.4,17.3,67,0.0,18.4,Partly cloudy
Nakuru,2023-11-30,23.2,10.7,16.6,65,0.0,18.7,Sunny
Nakuru,2023-12-01,23.1,11.0,16.4,68,0.02,14.8,Patchy rain possible
Nakuru,2023-12-02,22.4,12.0,16.6,71,0.4,17.6,Patchy rain possible
Nakuru,2023-12-03,23.2,11.7,16.9,73,1.13,15.8,Patchy rain possible
Nakuru,2023-12-04,23.4,11.6,16.7,70,0.04,19.8,Patchy rain possible
Nakuru,2023-12-05,23.8,10.8,16.5,68,0.01,15.5,Patchy rain possible
Nakuru,2023-12-06,21.8,14.6,16.7,75,3.39,10.8,Light rain shower
Nakuru,2023-12-07,23.4,12.5,17.1,73,2.14,14.8,Patchy rain possible
Nakuru,2023-12-08,24.0,11.2,17.1,70,0.85,16.2,Patchy light drizzle
Nakuru,2023-12-09,23.6,11.5,17.6,71,1.97,12.2,Patchy rain possible
